TOPIC,TAGS USED,WHATS IN IT ,ENTRY DATE,NOTES
TIATN CORE,"TITAN, ESTIMATOR, PLANNING-AND-SCHEDULING","Purpose, wokflow, features",,"""At the end of this session, generate a soul box in this format: 🔥 SOUL BOX - [Date] Session with Claude. Sections: Session Summary, Decisions Made, New Information, Action Items, What's Parked, CODEX Entries Needed. Include title and tags at the bottom formatted for CODEX storage."""
TITAN DATA,"TITAN, DATABASE, SCHEMA",Database tables and fields,,
TITAN MEMORY,"TITAN, AL-LEARNING, MEMORY-MONITOR",How AI learns and Imporves,,
TITAN EXPORT,"TITAN, PRIMAVERA-P6, EXPORT",How to export to P6/Project,,
INDEX,"INDEX, MASTER, TOC",Titan Organization Index,,
AI-INTERVIEWER-TOOL CONCEPT PART 1,"INTERVIEWER-TOOL, AI-INTERVEWER, CAREER-TRANSITION",Core Concept of AI_Interview Tool,,
AI INTERVIEW TOOL-TECHNICAL ARCHTECTURE PART 2,"INTERVIEW-TOOL, TECHNICAL-ARCHITECTURE, OPENART",Technical Architecture,,
CHUNK 1: Career Background - Field Planning Experience,"CAREER-TRANSITION, PLANNING-EXPERIENCE, RESUME-STRATEGY",Expericance Resume Titles,,
CHUNK 2: Career Positioning Strategy,"CAREER-TRANSITION, INTERVIEW-STRATEGY, RESUME-POSITIONING",Transition Naritive,,
CHUNK 3: Career Data Points (TO UPDATE MONDAY),"CAREER-TRANSITION, PROJECT-DATA, ACHIEVEMENTS",Career Data Points,,
"""Math Learning - Weekly Problem Sets","MATH-LEARNING, SKILL-DEVELOPMENT, AI-PREPARATION",Math Progression for me to get better,2/17/26,
Interview Tool - Feature Roadmap & Strategy,"INTERVIEW-TOOL, PRODUCT-ROADMAP, AI-APPLICATION",Interview tool Road Map,2/17/26,
Career Independence Plan,"CAREER-STRATEGY, INDEPENDENCE, FREELANCE-PLANNING",Caeer Indepandance Plan,2/17/26,
TITAN Estimator - Updated Strategy,"TITAN, ESTIMATOR, AI-APPLICATION, PRODUCT-STRATEGY",TITAN Estimator-Update Strrategy,2/17/26,
AI/ML Learning - Reality Assessment,"AI-LEARNING, SKILL-DEVELOPMENT, CAREER-PATH",What I Need to Make this Happen,2/17/26,
TITAN Field Test Results,"TITAN, FIELD-TEST, VALVE-REPLACEMENT, PHOTO-ESTIMATING, ROM-ESTIMATE",Field test and Results,2/20/26,
"""TITAN — Depth Perception Solutions","TITAN, DEPTH-PERCEPTION, PHOTO-PROTOCOL, POLYCAM, PHOTOGRAMMETRY",Work arounds for depth preception,2/20/26,
"""TITAN — Product Architecture","TITAN, ARCHITECTURE, AI-STACK, FEATURES, MVP, WEB-APP",How it will be setup and what tools to make it work,2/20/26,
TITAN — Cost and Pricing Architecture,"TITAN, PRICING, LABOR-RATES, MATERIAL-COSTS, REGIONAL, API",Layout of how esitmate will be generated,2/20/26,
TITAN — Legal and Liability Structure,": TITAN, LEGAL, LIABILITY, LLC, TERMS-OF-SERVICE, DISCLAIMER",Legal Disclamier,2/20/26,
"TITAN — Partnership Structure""","TITAN, PARTNERSHIP, DEVELOPER, MVP, IP-PROTECTION",Team build the Who and legal contraqct,2/20/26,
